RJ,SE,320.89
RJ,TO,475.06
RJ,PI,409.55
RJ,MA,469.55
RS,CE,930.23
RS,DF,388.79
RS,GO,355.33
RS,MT,451.03
RS,MS,280.32
RS,PR,231.51
RS,RJ,353.51
RS,SC,139.50
RS,SP,259.44
RO,AC,109.13
RO,AM,256.91
RO,DF,501.69
RO,GO,271.26
RO,MT,292.63
RO,MS,453.02
RO,PR,736.51
RO,SC,805.40
RO,SP,330.00
RR,AM,200.00
SC,DF,311.87
SC,GO,304.19
SC,MT,447.89
SC,MS,273.48
SC,PR,93.78
SC,RJ,232.76
SC,RS,140.85
SC,RO,758.54
SC,SP,232.15
SP,CE,402.85
SP,DF,225.00
SP,ES,261.71
SP,GO,259.03
SP,MT,256.22
SP,MS,299.33
SP,MG,269.23
SP,PA,449.97
SP,PR,155.43
SP,RJ,160.50
SP,RS,263.88
SP,RO,490.06
SP,SC,207.30
SP,TO,289.87
SP,RN,577.99
SP,BA,374.89
SP,PB,399.00
SP,PE,389.76
SP,SE,427.81
SP,PI,371.40
SP,MA,379.76
TO,CE,340.00
TO,DF,145.00
TO,GO,139.50
TO,MS,274.38
TO,MG,345.80
TO,RJ,452.42
TO,SP,285.98
AM,RR,200.00
AM,RO,255.50
